sentence1,sentence2,score
طائرة ستقلع,طائرة جوية ستقلع,1.0
رجل يعزف على ناي كبير,رجل يعزف على الناي.,0.76
رجل ينشر الجبن الممزق على البيتزا,رجل ينشر الجبن الممزق على بيتزا غير مطبوخة,0.76
ثلاثة رجال يلعبون الشطرنج.,رجلين يلعبان الشطرنج.,0.52
رجل يعزف على التشيلو,رجل جالس يعزف على التشيلو,0.85
بعض الرجال يقاتلون,رجلين يتشاجران,0.85
رجل يدخن,رجل يتزلج,0.1
الرجل يعزف البيانو.,الرجل يعزف على الجيتار.,0.32
رجل يعزف على الجيتار ويغني,امرأة تعزف على غيتار صوتي وتغني.,0.44
شخص يرمي قطة على السقف,شخص يرمي قطة على السقف,1.0
الرجل ضرب الرجل الآخر بعصا.,الرجل صفع الرجل الآخر بعصا.,0.84
إمرأة تَلتقطُ ويَحْملُ a كنجارو طفل.,إمرأة تَلتقطُ وتَحْملُ a طفل كنجارو في ذراعيها.,0.92
رجل يعزف على الناي.,رجل يعزف على ناي من الخيزران,0.77
شخص يطوي قطعة من الورق,شخص ما يطوي قطعة من الورق.,0.93
رجل يركض على الطريق,كلب الباندا يركض على الطريق,0.33
كلب يحاول الحصول على اللحم المقدد من ظهره.,الكلب يحاول أن يأكل اللحم المقدد على ظهره,0.75
الدب القطبي ينزلق على الثلج.,دب قطبي ينزلق عبر الثلج.,1.0
امرأة تكتب.,امرأة تسبح.,0.1
القطة تفرك وجه الطفل,القطة تفرك ضد الطفل.,0.76
الرجل يركب حصاناً.,رجل يركب حصاناً,1.0
رجل يسكب الزيت في وعاء,رجل يسكب النبيذ في وعاء,0.64
رجل يعزف على الجيتار.,فتاة تعزف على الجيتار.,0.56
الباندا ينزلق أسفل الشريحة.,الباندا ينزلق في زلاجة.,0.92
امرأة تأكل شيئاً ما,امرأة تأكل اللحم,0.6
امرأة تقشر البطاطا,امرأة تقشر البطاطا.,1.0
سقط الصبي من دراجته,فتى يسقط من دراجته,0.96
المرأة تعزف على الناي,امرأة تعزف على الناي.,1.0
الأرنب يهرب من النسر,الأرنب يهرب من النسر,0.84
المرأة تقلي شريحة لحم خنزير مخبوزة.,امرأة تطبخ شريحة لحم خنزير مخبوزة.,0.84
فتاة تطير طائرة ورقية,فتاة تركض هي طائرة ورقية تطير,0.8
رجل يركب ثور ميكانيكي,رجل ركب ثور ميكانيكي,0.8
الرجل يعزف على الجيتار.,رجل يعزف على الجيتار.,0.98
امرأة ترقص وتغني مع نساء أخريات,امرأة ترقص وتغني في المطر.,0.6
رجل يقطّع كعكة,رجل يقطع بصلة,0.48
رجل يسكب الزيت في وعاء,رجل يسكب الزيت في المقلاة,0.84
الأسد يلعب بالناس,أسد يلعب مع رجلين,0.68
كلب يركب لوح التزلج,كلب يركب لوح التزلج,1.0
أحدهم ينحت تمثالاً,رجل ينحت تمثالاً,0.75
امرأة تقطع بصلة,رجل يقطع بصلة,0.55
امرأة تقشر الجمبري,امرأة تقشر الجمبري,1.0
امرأة تقلي سمكاً.,امرأة تطبخ السمك,0.8
امرأة تعزف على غيتار كهربائي.,امرأة تعزف على الجيتار.,0.72
طفل نمر يلعب بالكرة,يَلْعبُ a طفل مع a دمية.,0.32
شخص يقطع الطماطم,شخص يقطع بعض اللحوم,0.35
شخص يقطع بصلة,شخص يقطع بصلة,1.0
رجل يعزف على البيانو.,امرأة تعزف الكمان.,0.2
امرأة تعزف على الناي.,رجل يعزف على الجيتار.,0.2
رجل يقطع البطاطا,رجل يقطع الجزر,0.47
طفل يعزف على الجيتار.,فتى يعزف على الجيتار.,0.76
فتى يعزف على الجيتار.,رجل يعزف على الجيتار.,0.64
رجل يعزف على الجيتار.,فتى يعزف على الجيتار.,0.64
صبي صغير يعزف على لوحة المفاتيح.,فتى يلعب على لوحة المفاتيح,0.88
رجل يعزف على الجيتار.,رجل يعزف على غيتار كهربائي,0.75
كلب يلعق طفل,كلب يلعق طفلاً,0.95
امرأة تقطع بصلة,الرجل يقطع البصل,0.64
رجل يعزف على الجيتار.,رجل يعزف الطبول.,0.31
امرأة تقطع فلفل.,امرأة تقطع فلفل أحمر,0.79
رجل يعزف الطبول.,رجل يعزف على الطبول,1.0
امرأة تركب حصاناً,امرأة تركب حصاناً,1.0
رجل يأكل موز بجانب شجرة.,رجل يأكل موزة.,0.8
القطة تلعب على لوحة المفاتيح,رجل يعزف على لوحة مفاتيح,0.32
رجل يقطع شجرة بالفأس,رجل قطع شجرة بفأس.,0.95
طفل يلعب مع هاتف لعبة.,صبي صغير يلعب مع هاتف لعبة.,0.7
رجل يركب دراجة نارية,رجل يركب حصاناً,0.28
رجل يركب دراجة نارية,رجل يركب حصاناً,0.28
السنجاب يدور في دوائر.,السنجاب يركض في دوائر,0.8
رجل وامرأة يقبلان بعضهما,رجل وامرأة يقبلان بعضهما,1.0
رجل يدخل في سيارة,رجل يدخل سيارته في المرآب,0.77
رجل يرقص,رجل يتحدث,0.12
رجل يعزف على الجيتار ويغني,رجل يعزف على الجيتار.,0.58
شخص يقطع الفطر,شخص يقطع الفطر بسكين,0.84
طفل نمر يصدر صوتاً,نمر يتجول,0.4
شخص يقطع البصل,شخص يقشر بصلة,0.52
رجل يعزف على البيانو.,رجل يعزف على البوق,0.32
امرأة تقشر البطاطا.,امرأة تقشر تفاحة,0.4
بانكدا يأكل الخيزران,دب الباندا يأكل بعض الخيزران.,0.84
شخص يقشر بصلة,شخص يقشر الباذنجان,0.4
القرد يدفع القرد الآخر,القرد دفع القرد الآخر.,0.96
السنجاب يركض في دوائر,السنجاب يتحرك في دوائر,0.88
رجل يربط حذائه,رجل يربط حذائه,1.0
صبي يغني ويعزف البيانو.,فتى يعزف البيانو.,0.6
الكلب يأكل البطيخ.,الكلب يأكل قطعة من البطيخ.,0.85
امرأة تقطع القرنبيط.,امرأة تقطع القرنبيط بسكين.,0.85
رجل يقشر البطاطا,رجل قشر بطاطا,0.76
امرأة تعزف على الجيتار.,رجل يعزف على الجيتار,0.48
امرأة تقطع الطماطم.,رجل يقطع البصل,0.32
رجل يسبح تحت الماء,امرأة تسبح تحت الماء,0.4
رجل وامرأة يتحدثان,رجل وامرأة يأكلون,0.32
كلب صغير يطارد كرة اليوغا,الكلب يطارد الكرة,0.8
الرجال يلعبون الكريكيت,الرجال يلعبون كرة السلة,0.44
رجل يركب دراجة نارية,رجل يركب دراجة نارية,0.88
رجل يعزف على الجيتار.,رجل يغني ويعزف على الجيتار.,0.72
تحدث الرجل على الهاتف.,الرجل يتحدث على الهاتف.,0.72
رجل يصطاد السمك,رجل يتمرن,0.1
رجل يطير,رجل يتحدث,0.16
اثنان من الأولاد يقودون,خليجان يرقصان,0.12
رجل يركب حصاناً,فتاة تقود حصاناً,0.52
رجل يركب دراجة,قرد يركب دراجة,0.4
رجل يقطع البطاطا,امرأة تقشر البطاطا.,0.44
امرأة تقشر البطاطا.,رجل يقطع البطاطا,0.48
رجل يعزف على الجيتار.,شخص ما يعزف على الجيتار,0.72
امرأة تقطيع البيرة.,امرأة تقطع الزنجبيل,0.44
الرجل قطع طبق من الورق.,رجل يقطع صحن من الورق,0.96
الرجل يعزف على الجيتار.,رجل يعزف على الناي.,0.33
رجل يعزف على البيانو.,الرجل يعزف الكمان.,0.35
امرأة تقطع بعض اللحوم,امرأة تخبز بعض اللحم,0.45
رجل يعزف على لوحة المفاتيح,رجل يعزف على البيانو,0.8
قطعت السيدة البصل الأخضر.,قطعت السيدة بصل أخضر.,0.96
أحدهم يضع المعكرونة في الماء,امرأة تغلي المعكرونة في الماء,0.64
(ليونيل ريتشي) يرقص على السقف,(ليونيل ريتشي) يرقص بينما يقف على السقف,0.8
رجل يعزف على البيانو.,شخص يعزف على البيانو.,0.88
امرأة تعزف على الناي.,امرأة تعزف على الناي,0.92
فتى يتفحص التقويم,فتى ينظر إلى التقويم,0.76
امرأة تقطع بصلة,امرأة تقطع البصل.,0.96
رجل يعزف على الجيتار.,رجل يعزف على الجيتار,0.97
امرأة تستخدم آلة خياطة,امرأة تخيط على آلة.,1.0
امرأة تقلب الفطائر,طباخ كرتون يقلب الفطائر,0.51
رجل يركض على الطريق,هناك سيارة تسير على الطريق.,0.2
رجل يركب حصاناً,هناك رجل يتحدث على الهاتف,0.2
رجل يركب دراجة,رجل يركب حصاناً,0.4
امرأة ترقص,رجل يأكل,0.03
رجل يعزف على البيانو.,رجل يعزف على الناي.,0.4
رجل يعزف على الناي.,رجل يعزف على البيانو.,0.32
رجل يدور,رجل يرقص,0.32
القرد يتأرجح من طرف إلى آخر,قرد يتأرجح من شجرة إلى أخرى,0.68
لقد نزل الناس من القطار,نزل الناس من القطار في المحطة.,0.8
الكلب يقفز على الترامبولين,كلب يقفز على الترامبولين,0.96
فتى يعزف على آلة موسيقية.,رجل يعزف على البوق,0.5
امرأة تعزف على الجيتار,رجل يغني ويعزف على الجيتار,0.35
امرأة تلتقط علبة,امرأة تقطيع طماطم.,0.2
رجل يتسلق حبل,رجل يتسلق حبل,1.0
رجل يرفع سيارة,رجل يتسلق جداراً,0.28
رجل وامرأة يسيران في الشارع في سيارة جيب,رجل وامرأة يقودان على الطريق في سيارة مفتوحة.,0.8
جلس الرجل العاري القميص على كرسي.,رجل بلا قميص يجلس على كرسي.,0.76
إمرأتين تتصارعان,امرأتان يتصارعان على الأرض,0.8
لعب الجرو مع كرة تنس زرقاء.,جرو يلعب بكرة تنس,0.8
الكنغر يأكل شيئاً ما,الكنغر يأكل,0.96
القطة تعزف على البيانو.,رجل يعزف على الجيتار.,0.12
الرجل قطع بعض السجاد بسكين.,رجل يقطع السجادة بسكين,0.95
امرأة تقود دراجة نارية على الطريق,رجل يركب دراجة نارية,0.44
أحدهم يقطع خضروات,شخص ما يقطع الطماطم.,0.6
امرأة ترقص,رجل يتحدث,0.0
الكلب يلعق لعاب الطفل,كلب يلعق طفل,0.44
رجل يجدف قارباً,رجل يقطع الطماطم,0.08
رجل يقطع البطاطا,رجل يقطع البطاطا,0.96
امرأة تقطع الثوم.,المرأة تقطع الثوم,0.96
حيوان يركض في دوائر,السنجاب يركض في دوائر,0.76
رجل يسير ببطء عبر جسر حبل.,فتى يسير عبر الجسر.,0.6
رجل يعزف على الجيتار.,رجل جالس في غرفة يعزف على الجيتار.,0.8
رجل يعزف على الناي,رجل يعزف على الناي.,1.0
امرأة تكسر بيضتين في وعاء زجاجي.,امرأة تكسر بيضة في وعاء.,0.76
رجل يقطّع سمكة,رجل يمزق سمكة,0.6
رجلين يحزمان حقائبهما في صندوق سيارة,الرجال يضعون الحقائب في صندوق السيارة,0.88
رجل يصب الزيت على بعض الطماطم,صب الرجل الزيت على الطماطم المقطوعة.,0.76
رجل يقطع شيئاً ما,رجل يقطّع كعكة,0.6
رجل يجدف قارب,رجل يعزف على القيثارة,0.13
رجل وامرأة يسيران معاً في الغابة,رجل وامرأة يسيران ذراع في ذراع من خلال منطقة غابات.,0.8
إمرأة التقطت الكنغر.,امرأة تلتقط طفلاً من الكنغر,0.75
الأسماك تسبح,السمكة تسبح,0.83
إمرأتان يختلطان شيئاً في آلة تجهيز الطعام,إمرأتان يصنعان شيئاً في الخلاط,0.8
شخص يسبح على موجة كبيرة,شخص ما يتزلج.,0.72
رجل يعزف على الجيتار.,رجل يطعن هدفاً,0.24
رجل يعزف على الناي في فرقة موسيقية,رجل يعزف على الجيتار.,0.32
قام الرجل بنشر الزبدة على رغيف الخبز.,رجل ينشر الزبدة على الخبز.,0.8
شخص يغلي المعكرونة,امرأة تغلي المعكرونة في الماء,0.8
مجموعة من الناس يرقصون على تلة.,مجموعة من الناس يرقصون.,0.64
هناك رجل يرقص بالخارج,رجل يعزف على الناي.,0.2
امرأة تطعم رجل,امرأة تخلط اللحم,0.2
